,Tract Name,geo,affgeoid,Public Transportation,Average Commute Time,Unemployment Rate,Home Vacancy Rate,Rental Vacancy Rate,Median Home Value,Median Rent,Median Income,Population with Higher Ed Degree
165,Pearl City Highlands,"Census Tract 80.07, Honolulu County, Hawaii",15003008007,69,54,48,8,24,48,63,76,27
166,Iroquois Point,"Census Tract 83.01, Honolulu County, Hawaii",15003008301,31,87,80,58,62,NA,67,43,23
167,Campbell High School,"Census Tract 83.02, Honolulu County, Hawaii",15003008302,87,87,51,55,24,14,46,49,5
168,Ewa Beach,"Census Tract 84.02, Honolulu County, Hawaii",15003008402,82,91,61,60,61,24,28,45,10
169,Holomua School,"Census Tract 84.05, Honolulu County, Hawaii",15003008405,74,86,14,66,80,21,68,71,26
170,Hawaii Prince Golf Course,"Census Tract 84.06, Honolulu County, Hawaii",15003008406,37,79,38,16,24,33,85,74,61
171,Ocean Pointe,"Census Tract 84.07, Honolulu County, Hawaii",15003008407,40,92,53,30,24,32,80,71,50
172,Hoakalei Country Club,"Census Tract 84.08, Honolulu County, Hawaii",15003008408,46,80,45,49,24,35,78,83,66
173,Coral Creek Golf Course,"Census Tract 84.10, Honolulu County, Hawaii",15003008410,42,79,11,26,88,33,81,74,48
174,Geiger Road,"Census Tract 84.11, Honolulu County, Hawaii",15003008411,64,85,25,52,79,15,34,42,28
175,Ewa Gentry,"Census Tract 84.12, Honolulu County, Hawaii",15003008412,40,80,54,43,83,4,39,36,41
176,Kalaeloa,"Census Tract 85.02, Honolulu County, Hawaii",15003008502,80,76,83,72,80,NA,74,26,3
177,Kapolei Golf Course,"Census Tract 86.06, Honolulu County, Hawaii",15003008606,64,84,64,14,24,26,30,50,45
178,Ko Olina-Honokai Hale,"Census Tract 86.09, Honolulu County, Hawaii",15003008609,36,78,28,84,88,21,66,59,42
179,Ko Olina Resort,"Census Tract 86.10, Honolulu County, Hawaii",15003008610,9,79,71,92,91,55,85,72,80
180,Kahe,"Census Tract 86.11, Honolulu County, Hawaii",15003008611,76,59,88,89,24,NA,79,41,89
181,Upper Makakilo,"Census Tract 86.12, Honolulu County, Hawaii",15003008612,18,85,77,54,77,30,47,56,57
182,Makakilo: Wainohia Street,"Census Tract 86.13, Honolulu County, Hawaii",15003008613,47,72,54,34,90,17,68,71,21
183,Kunia West,"Census Tract 86.14, Honolulu County, Hawaii",15003008614,57,64,31,44,24,31,45,61,54
184,Ewa Villages,"Census Tract 86.17, Honolulu County, Hawaii",15003008617,70,79,43,27,24,24,4,48,15
185,Lower Makakilo,"Census Tract 86.22, Honolulu County, Hawaii",15003008622,65,75,73,36,24,32,62,72,15
186,Leeward Community College,"Census Tract 87.01, Honolulu County, Hawaii",15003008701,89,69,36,46,79,37,17,57,12
187,St. Joseph School,"Census Tract 87.02, Honolulu County, Hawaii",15003008702,92,76,54,4,24,13,10,8,14
188,West Loch,"Census Tract 87.03, Honolulu County, Hawaii",15003008703,90,72,84,40,71,23,13,16,13
189,Managers Drive,"Census Tract 88, Honolulu County, Hawaii",15003008800,76,59,38,32,64,41,2,82,16
190,Mililani Golf Course,"Census Tract 89.06, Honolulu County, Hawaii",15003008906,60,56,28,40,74,27,54,53,58
191,Mililani High School,"Census Tract 89.07, Honolulu County, Hawaii",15003008907,59,51,62,32,24,28,13,29,38
192,Mililani Marketplace,"Census Tract 89.08, Honolulu County, Hawaii",15003008908,34,61,14,23,24,38,68,66,61
193,Mililani District Park,"Census Tract 89.09, Honolulu County, Hawaii",15003008909,34,54,15,4,24,26,44,44,46
194,August Ahrens School,"Census Tract 89.12, Honolulu County, Hawaii",15003008912,84,56,48,29,24,42,34,85,18
195,Robinson Heights,"Census Tract 89.13, Honolulu County, Hawaii",15003008913,46,74,35,16,24,33,12,72,21
196,Honowai School,"Census Tract 89.14, Honolulu County, Hawaii",15003008914,91,83,34,50,24,1,45,26,5
197,Waipio Acres,"Census Tract 89.15, Honolulu County, Hawaii",15003008915,65,47,74,52,81,8,29,21,31
198,Mililani Town Center,"Census Tract 89.17, Honolulu County, Hawaii",15003008917,22,64,15,25,24,43,49,82,63
199,Mililani: Nob Hill,"Census Tract 89.18, Honolulu County, Hawaii",15003008918,37,63,73,9,24,29,47,49,60
200,Waipio Gentry,"Census Tract 89.20, Honolulu County, Hawaii",15003008920,21,48,54,14,63,15,41,32,46
201,Waipio,"Census Tract 89.21, Honolulu County, Hawaii",15003008921,60,42,17,4,24,29,49,41,7
202,Waikele,"Census Tract 89.22, Honolulu County, Hawaii",15003008922,53,57,45,31,76,16,56,55,75
203,Seaview,"Census Tract 89.23, Honolulu County, Hawaii",15003008923,46,56,15,31,60,24,29,37,58
204,Royal Kunia,"Census Tract 89.24, Honolulu County, Hawaii",15003008924,62,67,23,20,89,40,73,80,34
205,Village Park,"Census Tract 89.25, Honolulu County, Hawaii",15003008925,66,74,66,42,55,23,63,52,31
206,Laulani Valley-Mililani Technology Park,"Census Tract 89.26, Honolulu County, Hawaii",15003008926,25,31,57,47,60,10,51,35,61
207,Koolani Drive,"Census Tract 89.27, Honolulu County, Hawaii",15003008927,18,61,12,22,56,47,62,74,78
208,Mililani Mauka Middle School,"Census Tract 89.28, Honolulu County, Hawaii",15003008928,59,59,46,4,24,52,87,85,72
209,Mililani Mauka-Meheula Parkway,"Census Tract 89.29, Honolulu County, Hawaii",15003008929,50,59,2,51,24,12,44,28,68
210,Mililani: Ainamakua Drive,"Census Tract 89.30, Honolulu County, Hawaii",15003008930,12,60,18,27,24,55,86,87,82
211,Waiawa,"Census Tract 89.31, Honolulu County, Hawaii",15003008931,25,77,2,4,24,65,NA,90,70
212,Wheeler-East Range,"Census Tract 90, Honolulu County, Hawaii",15003009000,17,6,69,54,53,NA,70,19,40
213,Kaukonahua Road,"Census Tract 91, Honolulu County, Hawaii",15003009100,71,43,70,14,58,20,26,22,20
214,Wahiawa Mauka,"Census Tract 92, Honolulu County, Hawaii",15003009200,72,55,68,29,24,25,33,32,25
215,Wahiawa Waena,"Census Tract 93, Honolulu County, Hawaii",15003009300,73,63,54,24,62,25,4,3,17
216,Wahiawa Makai,"Census Tract 94, Honolulu County, Hawaii",15003009400,69,43,59,68,24,27,17,4,4
217,Kolekole Avenue,"Census Tract 95.01, Honolulu County, Hawaii",15003009501,3,3,89,34,24,NA,76,8,6
218,Menoher Street,"Census Tract 95.02, Honolulu County, Hawaii",15003009502,3,4,92,56,24,NA,78,18,22
219,Foote Avenue,"Census Tract 95.03, Honolulu County, Hawaii",15003009503,3,1,85,4,24,NA,80,35,18
220,Leilehua Avenue,"Census Tract 95.04, Honolulu County, Hawaii",15003009504,3,5,92,62,24,NA,63,42,52
221,Schofield: McCarthy Field,"Census Tract 95.07, Honolulu County, Hawaii",15003009507,3,1,84,71,24,NA,62,6,4
222,Maili,"Census Tract 96.03, Honolulu County, Hawaii",15003009603,83,86,85,68,62,12,24,18,10
223,Lualualei Transmitter,"Census Tract 96.08, Honolulu County, Hawaii",15003009608,50,83,87,64,24,5,36,24,3
224,Waianae Kai,"Census Tract 97.01, Honolulu County, Hawaii",15003009701,90,88,91,82,81,2,5,2,1
225,Lualualei-Camp Waianae,"Census Tract 97.03, Honolulu County, Hawaii",15003009703,80,89,82,29,24,8,15,40,7
226,Lualualei: Halona Road,"Census Tract 97.04, Honolulu County, Hawaii",15003009704,68,86,81,48,24,14,7,47,7
227,Makua Valley,"Census Tract 98.01, Honolulu County, Hawaii",15003009801,75,90,90,90,87,1,11,10,37
228,Makaha,"Census Tract 98.02, Honolulu County, Hawaii",15003009802,82,92,89,83,54,12,23,18,6
229,Haleiwa,"Census Tract 99.02, Honolulu County, Hawaii",15003009902,47,56,69,76,24,34,20,16,17
230,Kaena Point,"Census Tract 99.04, Honolulu County, Hawaii",15003009904,36,71,48,73,48,45,37,34,53
231,Kawailoa,"Census Tract 100, Honolulu County, Hawaii",15003010000,13,20,77,78,24,77,60,12,33
232,Waimea-Kahuku,"Census Tract 101, Honolulu County, Hawaii",15003010100,29,67,26,86,50,70,50,54,61
233,Hauula-Kaaawa,"Census Tract 102.01, Honolulu County, Hawaii",15003010201,43,81,67,84,86,36,31,28,47
234,Laie,"Census Tract 102.02, Honolulu County, Hawaii",15003010202,25,17,38,80,24,46,32,52,73
235,Kahaluu-Waikane,"Census Tract 103.03, Honolulu County, Hawaii",15003010303,10,62,56,42,24,59,35,38,35
236,Ahuimanu,"Census Tract 103.05, Honolulu County, Hawaii",15003010305,37,70,60,64,74,58,19,51,56
237,Haiku,"Census Tract 103.06, Honolulu County, Hawaii",15003010306,39,59,38,4,24,42,53,75,79
238,Kapunahala,"Census Tract 103.08, Honolulu County, Hawaii",15003010308,68,48,7,4,24,52,83,63,59
239,Kaneohe District Park,"Census Tract 105.03, Honolulu County, Hawaii",15003010503,50,30,61,56,24,50,12,45,30
240,Waikalua Road,"Census Tract 105.04, Honolulu County, Hawaii",15003010504,31,35,15,51,82,48,25,44,30
241,Heeia Kea,"Census Tract 105.05, Honolulu County, Hawaii",15003010505,41,38,5,22,24,58,55,69,65
242,Kahuhipa Street,"Census Tract 105.07, Honolulu County, Hawaii",15003010507,55,31,43,11,24,28,30,35,36
243,Lilipuna Road,"Census Tract 105.08, Honolulu County, Hawaii",15003010508,7,47,66,52,24,41,78,70,83
244,Puohala,"Census Tract 106.01, Honolulu County, Hawaii",15003010601,21,30,65,25,24,53,7,39,37
245,Castle High School-Halekou Road,"Census Tract 106.02, Honolulu County, Hawaii",15003010602,39,52,46,39,54,55,42,69,57
246,Kokokahi,"Census Tract 107.01, Honolulu County, Hawaii",15003010701,63,54,43,33,71,62,77,70,79
247,Mokulele Drive,"Census Tract 107.02, Honolulu County, Hawaii",15003010702,65,57,29,4,24,54,85,42,58
248,Mokapu West,"Census Tract 108.01, Honolulu County, Hawaii",15003010801,3,1,34,39,52,NA,77,7,34
249,Mokapu East,"Census Tract 108.02, Honolulu County, Hawaii",15003010802,3,2,62,22,24,NA,80,14,56
250,Kalaheo Hillside,"Census Tract 109.01, Honolulu County, Hawaii",15003010901,38,40,20,47,24,69,80,86,70
251,Oneawa Street-Kawainui,"Census Tract 109.03, Honolulu County, Hawaii",15003010903,57,33,80,9,24,59,25,29,49
252,Maluniu Avenue,"Census Tract 109.04, Honolulu County, Hawaii",15003010904,52,47,12,44,69,63,58,59,64
253,Ulupaina Street,"Census Tract 109.05, Honolulu County, Hawaii",15003010905,65,37,43,24,24,61,43,48,40
254,Maunawili,"Census Tract 110, Honolulu County, Hawaii",15003011000,23,40,41,36,24,74,72,88,78
255,Olomana,"Census Tract 111.03, Honolulu County, Hawaii",15003011103,28,52,9,22,24,64,82,76,76
256,Enchanted Lakes,"Census Tract 111.04, Honolulu County, Hawaii",15003011104,16,55,60,30,60,69,86,74,75
257,Kailua Town,"Census Tract 111.05, Honolulu County, Hawaii",15003011105,34,51,35,25,63,51,61,68,86
258,Keolu,"Census Tract 111.06, Honolulu County, Hawaii",15003011106,31,50,41,20,24,72,75,79,76
259,Kalaheo Avenue,"Census Tract 112.01, Honolulu County, Hawaii",15003011201,34,35,43,60,72,82,69,87,87
260,Lanikai,"Census Tract 112.02, Honolulu County, Hawaii",15003011202,8,51,26,79,24,82,57,73,83
261,Waimanalo,"Census Tract 113, Honolulu County, Hawaii",15003011300,52,46,29,11,24,34,14,31,9
262,Waipio Peninsula,"Census Tract 114, Honolulu County, Hawaii",15003011400,3,8,82,4,24,NA,77,7,26
263,Kapolei,"Census Tract 115, Honolulu County, Hawaii",15003011500,41,73,67,17,53,15,57,51,37
264,Waimanalo Beach-Homesteads,"Census Tract 9400.01, Honolulu County, Hawaii",15003940001,64,75,79,55,67,18,1,36,12
265,Nanakuli,"Census Tract 9400.02, Honolulu County, Hawaii",15003940002,78,84,86,42,65,3,18,17,2
266,Hanauma Bay,"Census Tract 9800, Honolulu County, Hawaii",15003980000,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,Kaho'olawe,"Census Tract 9800, Honolulu County, Hawaii",15003980000,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,Honolulu International Airport,"Census Tract 9802, Honolulu County, Hawaii",15003980200,NA,NA,NA,NA,NA,NA,NA,NA,2
269,Campbell Industrial Park,"Census Tract 9803, Honolulu County, Hawaii",15003980300,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,Schofield Forest Reserve,"Census Tract 9806, Honolulu County, Hawaii",15003980600,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,Schofield Barracks East Range,"Census Tract 9807, Honolulu County, Hawaii",15003980700,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,oomaluhia Botanical Garden,"Census Tract 9808, Honolulu County, Hawaii",15003980800,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,Kawainui Marsh,"Census Tract 9810, Honolulu County, Hawaii",15003981000,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,Bellows Air Force Base,"Census Tract 9811, Honolulu County, Hawaii",15003981100,3,0,NA,NA,NA,NA,NA,NA,90
275,Northwestern Hawaiian Islands,"Census Tract 9812, Honolulu County, Hawaii",15003981200,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,Mapunapuna Industrial,"Census Tract 9813, Honolulu County, Hawaii",15003981300,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,Nimitz-Airport Commercial,"Census Tract 9814, Honolulu County, Hawaii",15003981400,3,NA,2,4,NA,NA,NA,NA,0
278,Spreckelsville,"Census Tract 319, Kalawao County, Hawaii",15005031900,3,0,2,91,75,NA,3,21,44
279,Kalawao,"Census Tract 319, Kalawao County, Hawaii",15005031900,3,0,2,91,75,NA,3,21,44
280,Princeville-Kilauea,"Census Tract 401.03, Kauai County, Hawaii",15007040103,7,5,23,91,91,60,39,25,68
281,Ha'ena-Hanalei,"Census Tract 401.04, Kauai County, Hawaii",15007040104,3,24,65,92,92,73,25,1,67
282,Wailua Houselots,"Census Tract 402.04, Kauai County, Hawaii",15007040204,3,37,61,40,24,33,27,29,51
283,Wailua Homesteads,"Census Tract 402.05, Kauai County, Hawaii",15007040205,7,22,70,88,89,21,25,18,48
284,Kapa'a,"Census Tract 403, Kauai County, Hawaii",15007040300,8,35,61,85,88,16,18,28,28
285,Puhi-Hanama'ulu,"Census Tract 404, Kauai County, Hawaii",15007040400,6,8,26,74,86,14,10,28,12
286,Lihu'e,"Census Tract 405, Kauai County, Hawaii",15007040500,7,5,38,69,24,27,16,19,37
287,Koloa-Po'ipu,"Census Tract 406.03, Kauai County, Hawaii",15007040603,6,5,53,91,65,50,13,21,52
288,Omao-Kukui'ula,"Census Tract 406.04, Kauai County, Hawaii",15007040604,7,12,71,87,75,35,16,19,45
289,Eleele-Kalaheo,"Census Tract 407, Kauai County, Hawaii",15007040700,20,26,29,71,52,28,19,43,54
290,Kaumakani-Hanapepe,"Census Tract 408, Kauai County, Hawaii",15007040800,17,22,47,69,24,13,2,30,20
291,Kekaha-Waimea,"Census Tract 409, Kauai County, Hawaii",15007040900,8,30,69,87,77,12,8,17,24
292,Ni'ihau-Kaula,"Census Tract 412, Kauai County, Hawaii",15007041200,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,Anahola,"Census Tract 9400, Kauai County, Hawaii",15007940000,23,37,73,83,91,34,3,15,35
294,Hana,"Census Tract 301, Maui County, Hawaii",15009030100,3,5,74,91,91,16,3,4,29
295,Huelo,"Census Tract 302.01, Maui County, Hawaii",15009030201,9,45,47,71,53,46,20,4,29
296,Ha'iku,"Census Tract 302.02, Maui County, Hawaii",15009030202,3,29,48,74,62,60,21,42,61
297,Kula,"Census Tract 303.01, Maui County, Hawaii",15009030301,18,47,34,49,52,57,17,29,58
298,Wailea,"Census Tract 303.03, Maui County, Hawaii",15009030303,12,25,41,92,91,80,43,38,74
299,Pukalani,"Census Tract 304.02, Maui County, Hawaii",15009030402,20,31,45,54,54,42,16,42,35
300,Makawao,"Census Tract 304.03, Maui County, Hawaii",15009030403,6,38,81,59,53,32,8,29,33
301,Hali'imaile,"Census Tract 304.04, Maui County, Hawaii",15009030404,7,28,65,71,55,28,21,15,32
302,Pa'ia,"Census Tract 305.01, Maui County, Hawaii",15009030501,8,22,15,85,91,31,57,30,44
303,Kihei Mauka,"Census Tract 307.05, Maui County, Hawaii",15009030705,3,7,72,81,74,15,8,46,15
304,Kealia,"Census Tract 307.06, Maui County, Hawaii",15009030706,39,13,65,83,88,13,21,19,34
305,Waipuilani,"Census Tract 307.07, Maui County, Hawaii",15009030707,22,23,73,86,91,17,33,30,32
306,Halama,"Census Tract 307.08, Maui County, Hawaii",15009030708,20,11,25,87,89,39,12,20,25
307,Kamaole,"Census Tract 307.09, Maui County, Hawaii",15009030709,8,5,66,92,91,25,22,9,64
308,Keawakapu,"Census Tract 307.10, Maui County, Hawaii",15009030710,29,5,61,92,92,33,56,18,62
309,Waihee-Waikapu,"Census Tract 308, Maui County, Hawaii",15009030800,7,14,62,45,24,23,28,53,36
310,West Central Wailuku,"Census Tract 309.01, Maui County, Hawaii",15009030901,6,5,92,55,52,13,3,1,11
311,East Central Wailuku,"Census Tract 309.02, Maui County, Hawaii",15009030902,47,27,74,45,54,6,21,21,23
312,North Wailuku,"Census Tract 309.03, Maui County, Hawaii",15009030903,40,15,53,25,67,16,16,43,14
313,South Wailuku,"Census Tract 310, Maui County, Hawaii",15009031000,23,14,43,62,66,27,6,35,49
314,West Kahului,"Census Tract 311.01, Maui County, Hawaii",15009031101,63,11,74,49,24,23,7,26,13
315,Central Kahului,"Census Tract 311.02, Maui County, Hawaii",15009031102,42,17,46,74,90,24,4,23,8
316,Southeast Kahului,"Census Tract 311.03, Maui County, Hawaii",15009031103,45,12,74,25,24,25,8,46,24
317,Kahoma,"Census Tract 314.02, Maui County, Hawaii",15009031402,7,4,48,79,88,28,27,40,22
318,Lahaina,"Census Tract 314.04, Maui County, Hawaii",15009031404,7,4,51,87,88,35,19,21,28
319,Lahainaluna,"Census Tract 314.05, Maui County, Hawaii",15009031405,51,5,46,39,69,28,16,29,16
320,Kapalua,"Census Tract 315.01, Maui County, Hawaii",15009031501,29,5,29,92,91,26,42,29,18
321,Honokahua,"Census Tract 315.02, Maui County, Hawaii",15009031502,23,5,14,91,91,13,34,23,54
322,Honokowai,"Census Tract 315.03, Maui County, Hawaii",15009031503,46,4,25,92,91,80,20,6,53
323,Lana'i,"Census Tract 316.01, Maui County, Hawaii",15009031601,10,2,56,82,75,11,5,8,25
324,East Moloka'i,"Census Tract 317, Maui County, Hawaii",15009031700,7,3,45,85,90,4,1,3,14
325,West Moloka'i,"Census Tract 318.01, Maui County, Hawaii",15009031801,10,5,84,91,91,2,3,2,23
326,Spreckelsville,"Census Tract 319, Maui County, Hawaii",15009031900,46,6,62,68,77,26,27,19,10
327,Kalawao,"Census Tract 319, Maui County, Hawaii",15009031900,46,6,62,68,77,26,27,19,10
328,Launiupoko,"Census Tract 320, Maui County, Hawaii",15009032000,7,13,12,91,91,54,27,44,75
329,Hanauma Bay,"Census Tract 9800, Maui County, Hawaii",15009980000,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,Kaho'olawe,"Census Tract 9800, Maui County, Hawaii",15009980000,NA,NA,NA,NA,NA,NA,NA,NA,NA