,geo,affgeoid,PubTrans_16,MeanTime_16,UnempRate_16,OnlyHighSchool_16,OnlyBachelors_16,OnlyGraduate_16,VacancyPercent_16,RentalVacancyRate_16,MedianValue_16,RentMedian_16,MedianIncome_16,Median_income,LogUnempRate_16,LogRentalVacancy_16,LogVacancyRate_16,LogGraduate_16,LogBachelors_16,LogPubTrans_16,LogMedianValue_16
1,"Census Tract 201, Hawaii County, Hawaii",15001020100,5.9,28.5,4.2,31.6,22.4,9.6,21.3,9.5,265600,968,47554,NA,1.435084525,2.251291799,3.058707073,2.261763098,3.109060959,1.774952351,12.4897467
2,"Census Tract 202.02, Hawaii County, Hawaii",15001020202,1.00E-05,15.1,9.1,33.6,11.7,9.5,11.7,17.1,261400,1074,31875,NA,2.208274414,2.839078464,2.459588842,2.251291799,2.459588842,-11.51292546,12.47380708
3,"Census Tract 203, Hawaii County, Hawaii",15001020300,1.1,15.8,7,33.2,18.5,11.4,23.3,10.4,277000,814,37969,NA,1.945910149,2.341805806,3.148453361,2.433613355,2.917770732,0.09531018,12.53177279
4,"Census Tract 204, Hawaii County, Hawaii",15001020400,1.8,16.9,9,34.8,16.3,6.9,17.7,19.7,227600,856,28493,NA,2.197224577,2.980618636,2.87356464,1.931521412,2.791165108,0.587786665,12.33534498
5,"Census Tract 205, Hawaii County, Hawaii",15001020500,1.00E-05,15.5,10,28.1,19.7,6.1,16.7,6.8,302700,768,22903,NA,2.302585093,1.916922612,2.815408719,1.808288771,2.980618636,-11.51292546,12.6204975
6,"Census Tract 206, Hawaii County, Hawaii",15001020600,1.5,19.4,10.1,37.7,18.6,3.7,13.5,10.8,223400,1236,57941,NA,2.312535424,2.379546134,2.602689685,1.30833282,2.923161581,0.405465108,12.31671917
7,"Census Tract 207.01, Hawaii County, Hawaii",15001020701,1.00E-05,15.1,6.1,30.4,21.3,10.5,12.2,1.00E-05,296800,1068,49368,NA,1.808288771,-11.51292546,2.501435952,2.351375257,3.058707073,-11.51292546,12.60081379
8,"Census Tract 207.02, Hawaii County, Hawaii",15001020702,1.1,20.2,3.2,24.6,30.5,7.2,3.5,1.00E-05,300800,1507,69571,NA,1.16315081,-11.51292546,1.252762968,1.974081026,3.417726684,0.09531018,12.61420087
9,"Census Tract 208.01, Hawaii County, Hawaii",15001020801,0.6,20.9,2.8,24.3,23.2,14.1,4.1,7.3,294000,1339,74112,NA,1.029619417,1.987874348,1.410986974,2.646174797,3.144152279,-0.510825624,12.59133505
10,"Census Tract 208.02, Hawaii County, Hawaii",15001020802,0.6,18.4,5.7,33,17.4,17.2,12.4,1.00E-05,353300,1135,63750,NA,1.740466175,-11.51292546,2.517696473,2.844909384,2.856470206,-0.510825624,12.77507283
11,"Census Tract 209, Hawaii County, Hawaii",15001020900,1.00E-05,16.7,2,25.3,23.7,12.9,9.8,11.1,365700,1270,67017,NA,0.693147181,2.406945108,2.282382386,2.557227311,3.165475048,-11.51292546,12.8095686
12,"Census Tract 210.03, Hawaii County, Hawaii",15001021003,1.1,32.5,14.3,40.5,9.8,5.9,9.7,2.6,171000,1004,32199,NA,2.660259537,0.955511445,2.272125886,1.774952351,2.282382386,0.09531018,12.04941884
13,"Census Tract 210.05, Hawaii County, Hawaii",15001021005,0.4,31.8,3.3,30.8,22.4,7.1,11.7,4.6,244400,1123,46489,NA,1.193922468,1.526056303,2.459588842,1.960094784,3.109060959,-0.916290732,12.40656151
14,"Census Tract 210.10, Hawaii County, Hawaii",15001021010,1.00E-05,31,10,35.7,11.9,7.9,23.7,6.5,177500,1003,30378,NA,2.302585093,1.871802177,3.165475048,2.066862759,2.4765384,-11.51292546,12.08672589
15,"Census Tract 210.11, Hawaii County, Hawaii",15001021011,1.8,34,2.9,31.9,10.9,21.8,25.8,9.2,200400,1125,44227,NA,1.064710737,2.219203484,3.250374492,3.08190997,2.388762789,0.587786665,12.20807065
16,"Census Tract 210.13, Hawaii County, Hawaii",15001021013,3.9,27.5,8.5,33.8,14.7,5.1,9.6,0.6,283500,1125,51329,NA,2.140066163,-0.510825624,2.261763098,1.62924054,2.687847494,1.360976553,12.5549674
17,"Census Tract 211.01, Hawaii County, Hawaii",15001021101,1.00E-05,34.1,14.4,24.7,23.6,14,26.8,3.9,227300,941,27736,NA,2.667228207,1.360976553,3.288401888,2.63905733,3.161246712,-11.51292546,12.33402601
18,"Census Tract 211.06, Hawaii County, Hawaii",15001021106,3.2,32.1,18.9,33.3,10.5,9.8,24.1,5.6,190500,1088,28149,NA,2.939161922,1.722766598,3.18221184,2.282382386,2.351375257,1.16315081,12.15740747
19,"Census Tract 212.02, Hawaii County, Hawaii",15001021202,6.2,42.7,12.1,39.6,11.2,3.7,31.6,9.5,156700,942,40465,NA,2.493205453,2.251291799,3.453157121,1.30833282,2.415913778,1.824549292,11.96208843
20,"Census Tract 213, Hawaii County, Hawaii",15001021300,0.8,34.5,6.5,32,15.4,13,18.4,2.8,446500,1313,50953,NA,1.871802177,1.029619417,2.912350665,2.564949357,2.734367509,-0.223143551,13.00919468
21,"Census Tract 214.02, Hawaii County, Hawaii",15001021402,1.00E-05,25.9,4,34.6,17.8,6.6,13,7.1,401900,838,60750,NA,1.386294361,1.960094784,2.564949357,1.887069649,2.879198457,-11.51292546,12.90395858
22,"Census Tract 215.02, Hawaii County, Hawaii",15001021502,1.00E-05,22.2,13.1,29.9,14.5,8.6,17.2,8.2,678800,1110,63783,NA,2.57261223,2.104134154,2.844909384,2.151762203,2.674148649,-11.51292546,13.42808181
23,"Census Tract 215.04, Hawaii County, Hawaii",15001021504,0.6,17.8,7.2,37.2,10.5,3.5,12.4,9.9,350000,1137,63497,NA,1.974081026,2.292534757,2.517696473,1.252762968,2.351375257,-0.510825624,12.76568843
24,"Census Tract 215.07, Hawaii County, Hawaii",15001021507,1.00E-05,21.4,5.1,32.2,23.7,8.6,19.3,12.1,474300,1240,68333,NA,1.62924054,2.493205453,2.960105096,2.151762203,3.165475048,-11.51292546,13.06959531
25,"Census Tract 215.09, Hawaii County, Hawaii",15001021509,1.5,25.1,5.2,23.4,22.5,16.1,45.2,34.6,471000,1254,66771,NA,1.648658626,3.543853682,3.811097087,2.778819272,3.113515309,0.405465108,13.06261337
26,"Census Tract 216.01, Hawaii County, Hawaii",15001021601,0.8,15.2,7.2,35.8,19,10.2,26,13.7,431800,1127,60420,NA,1.974081026,2.617395833,3.258096538,2.32238772,2.944438979,-0.223143551,12.9757178
27,"Census Tract 216.04, Hawaii County, Hawaii",15001021604,0.7,19.5,7.8,22.4,24.5,10,35.9,22.9,457700,1608,72893,NA,2.054123734,3.131136911,3.580737295,2.302585093,3.198673118,-0.356674944,13.03396923
28,"Census Tract 217.02, Hawaii County, Hawaii",15001021702,1.6,31.8,6.9,29.8,17.3,11.5,13.9,1.00E-05,386900,1466,66842,NA,1.931521412,-11.51292546,2.63188884,2.442347035,2.850706502,0.470003629,12.86592154
29,"Census Tract 217.04, Hawaii County, Hawaii",15001021704,0.3,27.3,5.8,19.1,25.4,12.7,51.3,36.2,405300,1491,74138,NA,1.757857918,3.589059119,3.937690752,2.541601993,3.234749174,-1.203972804,12.91238281
30,"Census Tract 218, Hawaii County, Hawaii",15001021800,1.7,32.3,6.2,38.9,17.4,5,22,6.2,365800,1042,67614,NA,1.824549292,1.824549292,3.091042453,1.609437912,2.856470206,0.530628251,12.80984201
31,"Census Tract 219.02, Hawaii County, Hawaii",15001021902,5.2,37.7,6.7,42.8,11.1,5.5,16.7,3.4,362100,855,59939,NA,1.902107526,1.223775432,2.815408719,1.704748092,2.406945108,1.648658626,12.7996757
32,"Census Tract 220, Hawaii County, Hawaii",15001022000,3.2,39.3,5.8,34.8,13.4,7.5,19,1.00E-05,305400,1185,60231,NA,1.757857918,-11.51292546,2.944438979,2.014903021,2.595254707,1.16315081,12.62937767
33,"Census Tract 221.02, Hawaii County, Hawaii",15001022102,8.3,45.3,10.9,28.2,16.6,6.9,32.7,14,287500,810,45234,NA,2.388762789,2.63905733,3.487375078,1.931521412,2.809402695,2.116255515,12.56897814
34,"Census Tract 9900, Hawaii County, Hawaii",15001990000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Census Tract 9901, Hawaii County, Hawaii",15001990100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Census Tract 9903, Hawaii County, Hawaii",15001990300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Census Tract 9904, Hawaii County, Hawaii",15001990400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Census Tract 9905, Hawaii County, Hawaii",15001990500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Census Tract 9906, Hawaii County, Hawaii",15001990600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Census Tract 9907, Hawaii County, Hawaii",15001990700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Census Tract 9908, Hawaii County, Hawaii",15001990800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Census Tract 9909, Hawaii County, Hawaii",15001990900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Census Tract 9910, Hawaii County, Hawaii",15001991000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Census Tract 9911, Hawaii County, Hawaii",15001991100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Census Tract 9912, Hawaii County, Hawaii",15001991200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Census Tract 9913, Hawaii County, Hawaii",15001991300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Census Tract 9914, Hawaii County, Hawaii",15001991400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Census Tract 9915, Hawaii County, Hawaii",15001991500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Census Tract 9916, Hawaii County, Hawaii",15001991600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Census Tract 9917, Hawaii County, Hawaii",15001991700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Census Tract 1.06, Honolulu County, Hawaii",15003000106,4.3,34.2,5.1,14.1,32.7,25.9,7.1,5.1,678300,2154,100991,100991,1.62924054,1.62924054,1.960094784,3.254242969,3.487375078,1.458615023,13.42734495
52,"Census Tract 1.07, Honolulu County, Hawaii",15003000107,1.4,32.6,1.6,13.2,34.2,20.9,5,10.9,831700,2462,117813,117813,0.470003629,2.388762789,1.609437912,3.039749159,3.532225644,0.336472237,13.63122708
53,"Census Tract 1.08, Honolulu County, Hawaii",15003000108,5,31.1,4.2,13.7,27.9,27,8.8,1.00E-05,852300,3365,103857,103857,1.435084525,-11.51292546,2.174751721,3.295836866,3.328626689,1.609437912,13.65569386
54,"Census Tract 1.10, Honolulu County, Hawaii",15003000110,1.7,38.8,4.6,16.1,30.5,22.5,3.7,1.00E-05,830100,2985,123929,123929,1.526056303,-11.51292546,1.30833282,3.113515309,3.417726684,0.530628251,13.62930145
55,"Census Tract 1.11, Honolulu County, Hawaii",15003000111,3,34.3,0.6,17.7,31.7,17.4,0.6,1.00E-05,825400,NA,124444,124444,-0.510825624,-11.51292546,-0.510825624,2.856470206,3.456316681,1.098612289,13.6236234
56,"Census Tract 1.12, Honolulu County, Hawaii",15003000112,2.2,33.9,3.8,22,25.2,24.3,9.3,1.00E-05,709700,3057,101855,101855,1.335001067,-11.51292546,2.2300144,3.19047635,3.226843995,0.78845736,13.47259762
57,"Census Tract 1.14, Honolulu County, Hawaii",15003000114,1,31,4.2,7,37.3,34.4,23.2,1.00E-05,1519400,3393,146042,146042,1.435084525,-11.51292546,3.144152279,3.538056564,3.618993327,0,14.23382608
58,"Census Tract 2, Honolulu County, Hawaii",15003000200,3.3,29.1,0.6,17,30.6,23.1,9.5,1.00E-05,849600,2404,114481,114481,-0.510825624,-11.51292546,2.251291799,3.139832618,3.421000009,1.193922468,13.65252093
59,"Census Tract 3.01, Honolulu County, Hawaii",15003000301,1.3,26.8,2.7,15.6,33,22.9,14.1,1.00E-05,1025500,2438,118229,118229,0.993251773,-11.51292546,2.646174797,3.131136911,3.496507561,0.262364264,13.84069086
60,"Census Tract 3.02, Honolulu County, Hawaii",15003000302,4.8,26.5,2,19.8,27.6,20.5,5.5,1.00E-05,942700,1667,113875,113875,0.693147181,-11.51292546,1.704748092,3.020424886,3.317815773,1.568615918,13.75650338
61,"Census Tract 4.01, Honolulu County, Hawaii",15003000401,1.6,26.7,1.8,12.5,33,31.2,4.4,9.1,948300,2466,123047,123047,0.587786665,2.208274414,1.481604541,3.440418095,3.496507561,0.470003629,13.76242619
62,"Census Tract 4.02, Honolulu County, Hawaii",15003000402,0.5,26.5,0.5,9.6,35.6,33.6,10.3,1.00E-05,1331800,NA,157708,157708,-0.693147181,-11.51292546,2.332143895,3.514526067,3.572345638,-0.693147181,14.10204197
63,"Census Tract 5, Honolulu County, Hawaii",15003000500,3.3,27,1.5,13.7,33.3,28.7,20.5,17.1,1632400,3325,121544,121544,0.405465108,2.839078464,3.020424886,3.356897123,3.505557397,1.193922468,14.30556188
64,"Census Tract 6, Honolulu County, Hawaii",15003000600,1,30.1,5.8,9,37.6,30,14.2,1.00E-05,NA,3094,141563,141563,1.757857918,-11.51292546,2.653241965,3.401197382,3.62700405,0,NA
65,"Census Tract 7, Honolulu County, Hawaii",15003000700,4.6,21.1,3.8,29.1,26.1,13.5,9.6,1.00E-05,863500,1910,88681,88681,1.335001067,-11.51292546,2.261763098,2.602689685,3.261935314,1.526056303,13.66874918
66,"Census Tract 8, Honolulu County, Hawaii",15003000800,4.7,22.5,2.2,26.7,31.8,15.4,12.1,6.4,880400,1530,91838,91838,0.78845736,1.85629799,2.493205453,2.734367509,3.45946629,1.547562509,13.68813163
67,"Census Tract 9.01, Honolulu County, Hawaii",15003000901,5.5,23.1,4.2,20.1,27.8,16.7,6.9,5.7,626800,2098,71875,71875,1.435084525,1.740466175,1.931521412,2.815408719,3.325036021,1.704748092,13.34838279
68,"Census Tract 9.02, Honolulu County, Hawaii",15003000902,3.2,23.7,3.6,18.1,33.9,22.6,14.4,9.2,946700,1961,114375,114375,1.280933845,2.219203484,2.667228207,3.117949906,3.523415014,1.16315081,13.76073753
69,"Census Tract 9.03, Honolulu County, Hawaii",15003000903,3.3,21.6,1.7,22.8,34,15.5,11.4,4,861800,1677,80793,80793,0.530628251,1.386294361,2.433613355,2.740840024,3.526360525,1.193922468,13.6667785
70,"Census Tract 10, Honolulu County, Hawaii",15003001000,2,26.7,3.7,25.4,15.7,17.9,9.6,6.5,650500,1676,81286,81286,1.30833282,1.871802177,2.261763098,2.884800713,2.753660712,0.693147181,13.38549658
71,"Census Tract 11, Honolulu County, Hawaii",15003001100,9.3,30.5,6.5,30.6,23.1,5.8,1.1,1.00E-05,634900,1025,56591,56591,1.871802177,-11.51292546,0.09531018,1.757857918,3.139832618,2.2300144,13.36122279
72,"Census Tract 12.01, Honolulu County, Hawaii",15003001201,9,24.8,2.8,26.9,23.8,9.2,18,18.8,752700,1427,83042,83042,1.029619417,2.93385687,2.890371758,2.219203484,3.169685581,2.197224577,13.53142202
73,"Census Tract 12.02, Honolulu County, Hawaii",15003001202,1.6,22,3.9,25.1,21.8,11.1,13.2,10.8,724800,1440,88510,88510,1.360976553,2.379546134,2.58021683,2.406945108,3.08190997,0.470003629,13.49365103
74,"Census Tract 13, Honolulu County, Hawaii",15003001300,8.3,21.5,2.6,25.5,23.1,13.7,3.8,1.00E-05,760200,1362,66786,66786,0.955511445,-11.51292546,1.335001067,2.617395833,3.139832618,2.116255515,13.54133684
75,"Census Tract 14, Honolulu County, Hawaii",15003001400,6.7,23.2,5,18.8,28.4,17.5,3.2,1.00E-05,834900,1909,93553,93553,1.609437912,-11.51292546,1.16315081,2.862200881,3.346389145,1.902107526,13.63506724
76,"Census Tract 15, Honolulu County, Hawaii",15003001500,4.3,21.1,3.6,19.9,23.6,10.9,11.5,7,819300,1397,83542,83542,1.280933845,1.945910149,2.442347035,2.388762789,3.161246712,1.458615023,13.6162056
77,"Census Tract 16, Honolulu County, Hawaii",15003001600,6,20.6,3.5,28.4,22.5,12,13.8,1.00E-05,777900,1891,63689,63689,1.252762968,-11.51292546,2.624668592,2.48490665,3.113515309,1.791759469,13.56435326
78,"Census Tract 17, Honolulu County, Hawaii",15003001700,7,22.3,4.2,10.7,35.7,32.3,37.9,18.9,702200,1864,77169,77169,1.435084525,2.939161922,3.634951112,3.47506723,3.575150689,1.945910149,13.46197354
79,"Census Tract 18.01, Honolulu County, Hawaii",15003001801,16.2,23,2.4,15.8,28.7,10.5,44.6,28.6,429200,1124,40398,40398,0.875468737,3.353406718,3.797733859,2.351375257,3.356897123,2.785011242,12.96967829
80,"Census Tract 18.03, Honolulu County, Hawaii",15003001803,17.9,21.1,3.2,22.5,25.1,14.1,28,10.2,338800,1136,48059,48059,1.16315081,2.32238772,3.33220451,2.646174797,3.222867846,2.884800713,12.73316524
81,"Census Tract 18.04, Honolulu County, Hawaii",15003001804,20.4,19.6,1.4,18.1,31.1,23.4,37.1,14.1,407800,1477,63281,63281,0.336472237,2.646174797,3.61361697,3.152736022,3.437207819,3.015534901,12.91853214
82,"Census Tract 19.01, Honolulu County, Hawaii",15003001901,13.3,14.2,12.3,22.3,11.7,12.1,88.7,72,508100,1199,56625,56625,2.509599262,4.276666119,4.485259889,2.493205453,2.459588842,2.587764035,13.13843356
83,"Census Tract 19.03, Honolulu County, Hawaii",15003001903,7.2,21.7,5.8,15.2,29,16.9,23.3,7.4,533800,1756,68491,68491,1.757857918,2.00148,3.148453361,2.827313622,3.36729583,1.974081026,13.18777652
84,"Census Tract 19.04, Honolulu County, Hawaii",15003001904,16.5,22.5,3.7,12.8,33.3,19.1,45.6,24.2,381600,1688,66875,66875,1.30833282,3.186352633,3.819907717,2.949688335,3.505557397,2.803360381,12.85212822
85,"Census Tract 20.03, Honolulu County, Hawaii",15003002003,11.8,22.1,3.2,17,28.4,14.1,48.6,29,325000,1422,55843,55843,1.16315081,3.36729583,3.883623531,2.646174797,3.346389145,2.468099531,12.69158046
86,"Census Tract 20.04, Honolulu County, Hawaii",15003002004,10.4,23.2,6.3,18.4,25.2,6.1,26.6,8.7,380200,1370,42439,42439,1.840549633,2.163323026,3.280911216,1.808288771,3.226843995,2.341805806,12.84845271
87,"Census Tract 20.05, Honolulu County, Hawaii",15003002005,13.5,22.1,6.1,17.5,27.1,13.1,33.3,15.2,433100,1162,48582,48582,1.808288771,2.721295428,3.505557397,2.57261223,3.299533728,2.602689685,12.97872393
88,"Census Tract 20.06, Honolulu County, Hawaii",15003002006,9.2,19.1,3.4,20.1,29.5,17.4,43.6,26.7,337600,1484,56411,56411,1.223775432,3.284663565,3.77505715,2.856470206,3.384390263,2.219203484,12.72961704
89,"Census Tract 21, Honolulu County, Hawaii",15003002100,14.5,25.5,4.5,25.7,25.1,3.1,7.8,3.5,377100,1286,50458,50458,1.504077397,1.252762968,2.054123734,1.131402111,3.222867846,2.674148649,12.84026568
90,"Census Tract 22.01, Honolulu County, Hawaii",15003002201,10.6,20.5,1.9,20.5,30.2,8.4,15.7,14.5,373500,1279,47457,47457,0.641853886,2.674148649,2.753660712,2.128231706,3.407841924,2.360854001,12.83067328
