,geo,affgeoid,PubTrans_16,MeanTime_16,UnempRate_16,OnlyHighSchool_16,OnlyBachelors_16,OnlyGraduate_16,VacancyPercent_16,RentalVacancyRate_16,MedianValue_16,RentMedian_16,MedianIncome_16,Median_income,LogUnempRate_16,LogRentalVacancy_16,LogVacancyRate_16,LogGraduate_16,LogBachelors_16,LogPubTrans_16,LogMedianValue_16
175,"Census Tract 78.10, Honolulu County, Hawaii",15003007810,4.9,30.1,2.9,16.2,31.3,18.3,1.7,1.00E-05,693500,2600,116217,116217,1.064710737,-11.51292546,0.530628251,2.90690106,3.443618098,1.589235205,13.44950652
176,"Census Tract 78.11, Honolulu County, Hawaii",15003007811,4.5,28.3,3.1,23.3,23.9,12.4,8.7,5.9,477700,2276,95802,95802,1.131402111,1.774952351,2.163323026,2.517696473,3.173878459,1.504077397,13.0767382
177,"Census Tract 80.01, Honolulu County, Hawaii",15003008001,19.2,29.9,8.9,31.7,12,4.1,4.9,1.00E-05,575400,921,46143,46143,2.186051277,-11.51292546,1.589235205,1.410986974,2.48490665,2.954910279,13.26282073
178,"Census Tract 80.02, Honolulu County, Hawaii",15003008002,2.6,27.8,1.8,34.6,16.7,6.7,6.1,1.00E-05,587500,1808,85833,85833,0.587786665,-11.51292546,1.808288771,1.902107526,2.815408719,0.955511445,13.28363153
179,"Census Tract 80.03, Honolulu County, Hawaii",15003008003,11.6,30.6,8.5,32.5,16,4.8,5.1,4.3,306700,1297,62083,62083,2.140066163,1.458615023,1.62924054,1.568615918,2.772588722,2.451005098,12.63362535
180,"Census Tract 80.05, Honolulu County, Hawaii",15003008005,5.8,35.6,4.4,37.5,18.1,10.2,2.2,1.00E-05,596500,2011,98864,98864,1.481604541,-11.51292546,0.78845736,2.32238772,2.895911938,1.757857918,13.29883452
181,"Census Tract 80.06, Honolulu County, Hawaii",15003008006,5.2,34.2,5.8,28.3,21.1,7,2.6,1.00E-05,626600,1750,96875,96875,1.757857918,-11.51292546,0.955511445,1.945910149,3.04927304,1.648658626,13.34806366
182,"Census Tract 80.07, Honolulu County, Hawaii",15003008007,9.2,31.1,4.8,28.5,15.3,7.9,0.6,1.00E-05,637500,2218,113971,113971,1.568615918,-11.51292546,-0.510825624,2.066862759,2.727852828,2.219203484,13.36530956
183,"Census Tract 83.01, Honolulu County, Hawaii",15003008301,3.2,43.5,9.5,26.4,12.9,8.4,8.7,4.3,NA,2340,82689,82689,2.251291799,1.458615023,2.163323026,2.128231706,2.557227311,1.16315081,NA
184,"Census Tract 83.02, Honolulu County, Hawaii",15003008302,19.2,43.2,5.1,43,10.5,1,7.8,1.00E-05,413600,1829,89375,89375,1.62924054,-11.51292546,2.054123734,0,2.351375257,2.954910279,12.9326546
185,"Census Tract 84.02, Honolulu County, Hawaii",15003008402,14.5,48.3,6,35.9,11.7,3,9.1,4.1,499300,1520,83650,83650,1.791759469,1.410986974,2.208274414,1.098612289,2.459588842,2.674148649,13.1209624
186,"Census Tract 84.05, Honolulu County, Hawaii",15003008405,11,42.1,2.3,26.1,16.9,6.2,10.3,9.8,476800,2393,108403,108403,0.832909123,2.282382386,2.332143895,1.824549292,2.827313622,2.397895273,13.07485239
187,"Census Tract 84.06, Honolulu County, Hawaii",15003008406,3.6,37.8,4.2,23.4,25.2,11.8,1.8,1.00E-05,576900,3076,112264,112264,1.435084525,-11.51292546,0.587786665,2.468099531,3.226843995,1.280933845,13.26542422
188,"Census Tract 84.07, Honolulu County, Hawaii",15003008407,4,53.3,5.2,16.7,23.1,9.7,3.9,1.00E-05,575100,2803,106563,106563,1.648658626,-11.51292546,1.360976553,2.272125886,3.139832618,1.386294361,13.26229922
189,"Census Tract 84.08, Honolulu County, Hawaii",15003008408,4.7,38.5,4.5,17,25.2,14.9,6.8,1.00E-05,586400,2687,118015,118015,1.504077397,-11.51292546,1.916922612,2.701361213,3.226843995,1.547562509,13.28175743
190,"Census Tract 84.10, Honolulu County, Hawaii",15003008410,4.3,38.1,1.9,21,28.1,3.8,3.5,12.7,578700,2877,112847,112847,0.641853886,2.541601993,1.252762968,1.335001067,3.335769576,1.458615023,13.26853949
191,"Census Tract 84.11, Honolulu County, Hawaii",15003008411,7.8,41.1,3.2,33.5,16.2,7.3,7.6,9.3,420800,1650,80673,80673,1.16315081,2.2300144,2.028148247,1.987874348,2.785011242,2.054123734,12.94991294
192,"Census Tract 84.12, Honolulu County, Hawaii",15003008412,4,38.2,5.5,28.6,22.4,6.3,5.9,10.5,299500,1663,76627,76627,1.704748092,2.351375257,1.774952351,1.840549633,3.109060959,1.386294361,12.6098697
193,"Census Tract 85.02, Honolulu County, Hawaii",15003008502,12.9,36.6,11,40.9,6.5,3.4,12.5,9.7,NA,2540,68281,68281,2.397895273,2.272125886,2.525728644,1.223775432,1.871802177,2.557227311,NA
194,"Census Tract 86.06, Honolulu County, Hawaii",15003008606,7.8,40.4,6.2,26.2,22.3,8.3,1.7,1.00E-05,507200,1551,91161,91161,1.824549292,-11.51292546,0.530628251,2.116255515,3.104586678,2.054123734,13.13666068
195,"Census Tract 86.09, Honolulu County, Hawaii",15003008609,3.5,36.8,3.4,26.8,20.4,8.6,22.6,12.9,474300,2326,96391,96391,1.223775432,2.557227311,3.117949906,2.151762203,3.015534901,1.252762968,13.06959531
196,"Census Tract 86.10, Honolulu County, Hawaii",15003008610,1.1,38.1,7.5,7.8,30.3,22.2,52.6,36.9,686600,3084,108750,108750,2.014903021,3.608211551,3.96271612,3.100092289,3.411147713,0.09531018,13.43950716
197,"Census Tract 86.11, Honolulu County, Hawaii",15003008611,11.5,32.5,16,19,64.3,16.7,32.4,1.00E-05,NA,2750,79688,79688,2.772588722,-11.51292546,3.478158423,2.815408719,4.163559631,2.442347035,NA
198,"Census Tract 86.12, Honolulu County, Hawaii",15003008612,1.8,41.4,9.3,20.8,23.8,11.5,7.7,8.7,569800,1841,93810,93810,2.2300144,2.163323026,2.041220329,2.442347035,3.169685581,0.587786665,13.2530407
199,"Census Tract 86.13, Honolulu County, Hawaii",15003008613,4.8,35.2,5.5,29.8,16.6,4.2,4.6,21.2,451600,2380,106544,106544,1.704748092,3.054001182,1.526056303,1.435084525,2.809402695,1.568615918,13.02055211
200,"Census Tract 86.14, Honolulu County, Hawaii",15003008614,6,33.5,3.6,23.2,23.2,10.7,6,1.00E-05,572900,1816,97534,97534,1.280933845,-11.51292546,1.791759469,2.370243741,3.144152279,1.791759469,13.25846646
201,"Census Tract 86.17, Honolulu County, Hawaii",15003008617,9.7,37.6,4.4,29.4,14.1,3.6,3.7,1.00E-05,489400,979,89202,89202,1.481604541,-11.51292546,1.30833282,1.280933845,2.646174797,2.272125886,13.10093543
202,"Census Tract 86.22, Honolulu County, Hawaii",15003008622,7.9,36,8.4,36.8,13.6,4.2,5,1.00E-05,574700,2199,108750,108750,2.128231706,-11.51292546,1.609437912,1.435084525,2.610069793,2.066862759,13.26160344
203,"Census Tract 87.01, Honolulu County, Hawaii",15003008701,24.1,34.3,4.1,37.6,13.9,2.2,6.2,9.5,592600,1278,95750,95750,1.410986974,2.251291799,1.824549292,0.78845736,2.63188884,3.18221184,13.29227491
204,"Census Tract 87.02, Honolulu County, Hawaii",15003008702,27.5,36.4,5.5,35.6,14.6,2.3,1.00E-05,1.00E-05,407800,1176,50308,50308,1.704748092,-11.51292546,-11.51292546,0.832909123,2.681021529,3.314186005,12.91853214
205,"Census Tract 87.03, Honolulu County, Hawaii",15003008703,25,35.2,11.7,36.7,12.1,4.7,5.7,6.6,484500,1198,59046,59046,2.459588842,1.887069649,1.740466175,1.547562509,2.493205453,3.218875825,13.09087271
206,"Census Tract 88, Honolulu County, Hawaii",15003008800,11.5,32.5,4.2,35.9,15.5,3,4.2,5,608200,805,116958,116958,1.435084525,1.609437912,1.435084525,1.098612289,2.740840024,2.442347035,13.31825905
207,"Census Tract 89.06, Honolulu County, Hawaii",15003008906,6.4,31.8,3.4,27.4,25.1,11.2,5.7,7.8,526800,2009,92356,92356,1.223775432,2.054123734,1.740466175,2.415913778,3.222867846,1.85629799,13.17457625
208,"Census Tract 89.07, Honolulu County, Hawaii",15003008907,6.3,30.4,6.1,34.5,20.7,7.5,4.3,1.00E-05,562300,1213,71397,71397,1.808288771,-11.51292546,1.458615023,2.014903021,3.0301337,1.840549633,13.23979079
209,"Census Tract 89.08, Honolulu County, Hawaii",15003008908,3.4,32.9,2.3,23.3,27.2,10,2.7,1.00E-05,599400,2359,101346,101346,0.832909123,-11.51292546,0.993251773,2.302585093,3.303216973,1.223775432,13.30368443
210,"Census Tract 89.09, Honolulu County, Hawaii",15003008909,3.4,31,2.6,25.8,22.5,8.5,1.00E-05,1.00E-05,515400,1812,83047,83047,0.955511445,-11.51292546,-11.51292546,2.140066163,3.113515309,1.223775432,13.15269858
211,"Census Tract 89.12, Honolulu County, Hawaii",15003008912,15.3,32.2,4.8,31.6,14.8,4.6,3.8,1.00E-05,612800,1650,121774,121774,1.568615918,-11.51292546,1.335001067,1.526056303,2.694627181,2.727852828,13.3257939
212,"Census Tract 89.13, Honolulu County, Hawaii",15003008913,4.6,35.7,4,31.2,17.3,3.4,1.8,1.00E-05,580000,1193,109875,109875,1.386294361,-11.51292546,0.587786665,1.223775432,2.850706502,1.526056303,13.27078338
213,"Census Tract 89.14, Honolulu County, Hawaii",15003008914,25.3,39.9,3.9,37.4,9.5,1.7,7,1.00E-05,182600,1815,67952,67952,1.360976553,-11.51292546,1.945910149,0.530628251,2.251291799,3.230804396,12.11505325
214,"Census Tract 89.15, Honolulu County, Hawaii",15003008915,8.5,29.7,8.7,26.1,18.1,6.5,7.6,10.1,341700,1525,65160,65160,2.163323026,2.312535424,2.028148247,1.871802177,2.895911938,2.140066163,12.74168844
215,"Census Tract 89.17, Honolulu County, Hawaii",15003008917,2.6,33.4,2.4,16.9,25.8,12.1,3.2,1.00E-05,617200,1899,117417,117417,0.875468737,-11.51292546,1.16315081,2.493205453,3.250374492,0.955511445,13.3329484
216,"Census Tract 89.18, Honolulu County, Hawaii",15003008918,3.6,33.2,8.4,19.8,26.9,9.8,1,1.00E-05,563800,1833,90600,90600,2.128231706,-11.51292546,0,2.282382386,3.292126287,1.280933845,13.24245486
217,"Census Tract 89.20, Honolulu County, Hawaii",15003008920,2.4,29.8,5.5,24.5,23.2,7.7,1.7,4.5,423600,1712,74028,74028,1.704748092,1.504077397,0.530628251,2.041220329,3.144152279,0.875468737,12.95654489
218,"Census Tract 89.21, Honolulu County, Hawaii",15003008921,6.7,28.6,2.7,28.2,9.2,3.5,1.00E-05,1.00E-05,564900,1887,79622,79622,0.993251773,-11.51292546,-11.51292546,1.252762968,2.219203484,1.902107526,13.244404
219,"Census Tract 89.22, Honolulu County, Hawaii",15003008922,5.6,32.4,4.5,15.1,34,14.2,4,8.6,434100,2037,93652,93652,1.504077397,2.151762203,1.386294361,2.653241965,3.526360525,1.722766598,12.9810302
220,"Census Tract 89.23, Honolulu County, Hawaii",15003008923,4.6,31.7,2.6,26.6,28.1,7.7,4,3.9,499500,1535,76987,76987,0.955511445,1.360976553,1.386294361,2.041220329,3.335769576,1.526056303,13.12136288
221,"Census Tract 89.24, Honolulu County, Hawaii",15003008924,7,34,3.1,26.9,18.1,7.7,2.4,14.2,607800,2524,116010,116010,1.131402111,2.653241965,0.875468737,2.041220329,2.895911938,1.945910149,13.31760116
222,"Census Tract 89.25, Honolulu County, Hawaii",15003008925,8.8,35.9,6.6,27.1,19.1,5.3,5.8,2.7,479900,2218,91961,91961,1.887069649,0.993251773,1.757857918,1.667706821,2.949688335,2.174751721,13.08133303
223,"Census Tract 89.26, Honolulu County, Hawaii",15003008926,2.9,26.4,5.7,22.2,28.6,8.5,6.3,3.7,358800,1956,76103,76103,1.740466175,1.30833282,1.840549633,2.140066163,3.353406718,1.064710737,12.79052041
224,"Census Tract 89.27, Honolulu County, Hawaii",15003008927,1.8,33,2.1,10.8,32.6,18.3,2.6,3,634300,2184,111081,111081,0.741937345,1.098612289,0.955511445,2.90690106,3.484312288,0.587786665,13.36027731
225,"Census Tract 89.28, Honolulu County, Hawaii",15003008928,6.3,32.5,4.6,12.7,33.2,13.5,1.00E-05,1.00E-05,674900,3336,122157,122157,1.526056303,-11.51292546,-11.51292546,2.602689685,3.502549876,1.840549633,13.42231981
226,"Census Tract 89.29, Honolulu County, Hawaii",15003008929,5,32.5,1.00E-05,20.9,32.3,9.5,7.1,1.00E-05,385500,1797,69821,69821,-11.51292546,-11.51292546,1.960094784,2.251291799,3.47506723,1.609437912,12.86229647
227,"Census Tract 89.30, Honolulu County, Hawaii",15003008930,1.4,32.6,2.8,14,35.4,19.4,3.7,1.00E-05,691900,3259,134091,134091,1.029619417,-11.51292546,1.30833282,2.965273066,3.56671182,0.336472237,13.44719672
228,"Census Tract 89.31, Honolulu County, Hawaii",15003008931,2.9,36.7,1.00E-05,24.2,25.7,20,1.00E-05,1.00E-05,803700,NA,161250,161250,-11.51292546,-11.51292546,-11.51292546,2.995732274,3.246490992,1.064710737,13.59698134
229,"Census Tract 90, Honolulu County, Hawaii",15003009000,1.7,18.2,7.1,13.2,21.6,6.9,7.7,1.9,NA,2432,61357,61357,1.960094784,0.641853886,2.041220329,1.931521412,3.072693315,0.530628251,NA
230,"Census Tract 91, Honolulu County, Hawaii",15003009100,9.8,28.7,7.4,33.8,18.5,2.1,1.7,3.6,471700,1467,65673,65673,2.00148,1.280933845,0.530628251,0.741937345,2.917770732,2.282382386,13.06409847
231,"Census Tract 92, Honolulu County, Hawaii",15003009200,10,31.2,7,39.7,17.3,5.7,3.8,1.00E-05,506500,1583,73793,73793,1.945910149,-11.51292546,1.335001067,1.740466175,2.850706502,2.302585093,13.1352796
232,"Census Tract 93, Honolulu County, Hawaii",15003009300,10.6,33.2,5.5,34.2,12.4,6.8,2.9,4.2,500600,976,40636,40636,1.704748092,1.435084525,1.064710737,1.916922612,2.517696473,2.360854001,13.12356266
233,"Census Tract 94, Honolulu County, Hawaii",15003009400,9.6,28.7,5.8,40.1,6.9,3.9,11.2,1.00E-05,519300,1274,45635,45635,1.757857918,-11.51292546,2.415913778,1.360976553,1.931521412,2.261763098,13.16023703
234,"Census Tract 95.01, Honolulu County, Hawaii",15003009501,1.00E-05,12.5,17.5,21,9.3,2.7,4.8,1.00E-05,NA,2604,50607,50607,2.862200881,-11.51292546,1.568615918,0.993251773,2.2300144,-11.51292546,NA
235,"Census Tract 95.02, Honolulu County, Hawaii",15003009502,1.00E-05,13.8,21.7,12.6,16.4,4.5,8.3,1.00E-05,NA,2681,60288,60288,3.077312261,-11.51292546,2.116255515,1.504077397,2.797281335,-11.51292546,NA
236,"Census Tract 95.03, Honolulu County, Hawaii",15003009503,1.00E-05,8.4,12.3,27.1,16,3.3,1.00E-05,1.00E-05,NA,2850,75556,75556,2.509599262,-11.51292546,-11.51292546,1.193922468,2.772588722,-11.51292546,NA
237,"Census Tract 95.04, Honolulu County, Hawaii",15003009504,1.00E-05,15.5,19.9,25.5,16.6,16.5,9.7,1.00E-05,NA,2255,80250,80250,2.990719732,-11.51292546,2.272125886,2.803360381,2.809402695,-11.51292546,NA
238,"Census Tract 95.07, Honolulu County, Hawaii",15003009507,1.00E-05,9,11.5,39.3,9.4,1.6,11.9,1.00E-05,NA,2182,47614,47614,2.442347035,-11.51292546,2.4765384,0.470003629,2.240709689,-11.51292546,NA
239,"Census Tract 96.03, Honolulu County, Hawaii",15003009603,15,42.9,13.3,39,9.9,4.8,11.1,4.2,388400,1457,60486,60486,2.587764035,1.435084525,2.406945108,1.568615918,2.292534757,2.708050201,12.86979102
240,"Census Tract 96.08, Honolulu County, Hawaii",15003009608,5,39.5,15,49.4,9.1,1.2,10.2,1.00E-05,317300,1655,65875,65875,2.708050201,-11.51292546,2.32238772,0.182321557,2.208274414,1.609437912,12.66760298
241,"Census Tract 97.01, Honolulu County, Hawaii",15003009701,25,45.8,18.9,41.5,4.2,1.2,18.3,9.9,217300,1024,36290,36290,2.939161922,2.292534757,2.90690106,0.182321557,1.435084525,3.218875825,12.28903417
242,"Census Tract 97.03, Honolulu County, Hawaii",15003009703,12.9,47.3,10.7,47.8,9.6,2.7,3.8,1.00E-05,345000,1237,79063,79063,2.370243741,-11.51292546,1.335001067,0.993251773,2.261763098,2.557227311,12.7512997
243,"Census Tract 97.04, Honolulu County, Hawaii",15003009704,9.1,43,10.3,42,8.6,3.9,6.7,1.00E-05,415200,1088,87708,87708,2.332143895,-11.51292546,1.902107526,1.360976553,2.151762203,2.208274414,12.93651561
244,"Census Tract 98.01, Honolulu County, Hawaii",15003009801,11.2,47.5,18.8,33.9,17.3,10.4,35.6,11.6,169800,1187,52321,52321,2.93385687,2.451005098,3.572345638,2.341805806,2.850706502,2.415913778,12.04237655
245,"Census Tract 98.02, Honolulu County, Hawaii",15003009802,14.4,49.6,16.4,44.7,8.6,3.3,19.4,2.2,387300,1427,60817,60817,2.797281335,0.78845736,2.965273066,1.193922468,2.151762203,2.667228207,12.86695487
246,"Census Tract 99.02, Honolulu County, Hawaii",15003009902,4.8,32.1,7.2,25.1,13.5,5.5,14.5,1.00E-05,586300,1368,59556,59556,1.974081026,-11.51292546,2.674148649,1.704748092,2.602689685,1.568615918,13.28158688
247,"Census Tract 99.04, Honolulu County, Hawaii",15003009904,3.5,34.6,4.8,25,21.4,12.3,12.7,0.4,628100,1657,74489,74489,1.568615918,-0.916290732,2.541601993,2.509599262,3.063390922,1.252762968,13.35045467
248,"Census Tract 100, Honolulu County, Hawaii",15003010000,1.5,22.6,9.3,27,19.5,6,15,1.00E-05,961200,2166,53750,53750,2.2300144,-11.51292546,2.708050201,1.791759469,2.970414466,0.405465108,13.77593778
249,"Census Tract 101, Honolulu County, Hawaii",15003010100,3.1,34,3.3,24.1,25.8,11.2,25.8,1.1,849000,1953,93293,93293,1.193922468,0.09531018,3.250374492,2.415913778,3.250374492,1.131402111,13.65181447
250,"Census Tract 102.01, Honolulu County, Hawaii",15003010201,4.4,38.8,6.8,31.8,19.6,11.5,22.6,11,590600,1563,69148,69148,1.916922612,2.397895273,3.117949906,2.442347035,2.975529566,1.481604541,13.28889425
251,"Census Tract 102.02, Honolulu County, Hawaii",15003010202,2.9,22.4,4.2,18.5,29.7,17.2,16.7,1.00E-05,629900,1575,92305,92305,1.435084525,-11.51292546,2.815408719,2.844909384,3.391147046,1.064710737,13.35331636
252,"Census Tract 103.03, Honolulu County, Hawaii",15003010303,1.3,33.1,5.6,33.5,17.4,9,5.8,1.00E-05,724000,1654,78553,78553,1.722766598,-11.51292546,1.757857918,2.197224577,2.856470206,0.262364264,13.49254667
253,"Census Tract 103.05, Honolulu County, Hawaii",15003010305,3.6,34.5,5.9,29.1,21.6,13,10.2,7.8,720000,1336,91838,91838,1.774952351,2.054123734,2.32238772,2.564949357,3.072693315,1.280933845,13.48700649
254,"Census Tract 103.06, Honolulu County, Hawaii",15003010306,3.9,32.5,4.2,18,29.6,21.5,1.00E-05,1.00E-05,616000,1992,113438,113438,1.435084525,-11.51292546,-11.51292546,3.068052935,3.387774361,1.360976553,13.33100224
255,"Census Tract 103.08, Honolulu County, Hawaii",15003010308,9.1,29.8,1.5,28.5,29.1,7.3,1.00E-05,1.00E-05,674100,3048,98295,98295,0.405465108,-11.51292546,-11.51292546,1.987874348,3.370738174,2.208274414,13.42113375
256,"Census Tract 105.03, Honolulu County, Hawaii",15003010503,5,25.7,6,39.4,16.5,7.8,8.3,1.00E-05,658700,1191,85500,85500,1.791759469,-11.51292546,2.116255515,2.054123734,2.803360381,1.609437912,13.39802347
257,"Census Tract 105.04, Honolulu County, Hawaii",15003010504,3.2,27,2.6,42.9,19,5.4,7.2,10.2,646100,1465,83462,83462,0.955511445,2.32238772,1.974081026,1.686398954,2.944438979,1.16315081,13.37870957
